temporada,rodada,timeA,timeB,resultado
2024,1,Internacional,Bahia,2x1
2024,1,Criciúma,Juventude,1x1
2024,1,Fluminense,Bragantino,2x2
2024,1,São Paulo,Fortaleza,1x2
2024,1,Atlético-GO,Flamengo,1x2
2024,1,Vasco,Grêmio,2x1
2024,1,Corinthians,Atlético-MG,0x0
2024,1,Athletico-PR,Cuiabá,4x0
2024,1,Cruzeiro,Botafogo,3x2
2024,1,Vitória,Palmeiras,0x1
2024,2,Bahia,Fluminense,2x1
2024,2,Grêmio,Athletico-PR,2x0
2024,2,Atlético-MG,Criciúma,1x1
2024,2,Bragantino,Vasco,2x1
2024,2,Fortaleza,Cruzeiro,1x1
2024,2,Juventude,Corinthians,2x0
2024,2,Palmeiras,Internacional,0x1
2024,2,Flamengo,São Paulo,2x1
2024,2,Botafogo,Atlético-GO,1x0
2024,2,Cuiabá,Vitória,0x0
2024,3,Fluminense,Vasco,2x1
2024,3,Grêmio,Cuiabá,1x0
2024,3,Bragantino,Corinthians,1x0
2024,3,Atlético-MG,Cruzeiro,3x0
2024,3,Vitória,Bahia,2x2
2024,3,Palmeiras,Flamengo,0x0
2024,3,Athletico-PR,Internacional,1x0
2024,3,Botafogo,Juventude,5x1
2024,3,Atlético-GO,São Paulo,0x3
2024,3,Criciúma,Fortaleza,1x1
2024,4,Vasco,Criciúma,0x4
2024,4,Cuiabá,Atlético-MG,0x3
2024,4,Bahia,Grêmio,1x0
2024,4,Flamengo,Botafogo,0x2
2024,4,Cruzeiro,Vitória,3x1
2024,4,Corinthians,Fluminense,3x0
2024,4,Fortaleza,Bragantino,1x1
2024,4,Juventude,Athletico-PR,1x1
2024,4,Internacional,Atlético-GO,1x1
2024,4,São Paulo,Palmeiras,0x0
2024,5,Fluminense,Atlético-MG,2x2
2024,5,Bragantino,Flamengo,1x1
2024,5,Corinthians,Fortaleza,0x0
2024,5,Vitória,São Paulo,1x3
2024,5,Athletico-PR,Vasco,1x0
2024,5,Botafogo,Bahia,1x2
2024,5,Cuiabá,Palmeiras,0x2
2024,5,Juventude,Atlético-GO,1x0
2024,5,Cruzeiro,Internacional,0x0
2024,5,Grêmio,Criciúma,1x2
2024,6,Flamengo,Corinthians,2x0
2024,6,Vasco,Vitória,2x1
2024,6,Atlético-GO,Cruzeiro,0x1
2024,6,Palmeiras,Athletico-PR,0x2
2024,6,Fortaleza,Botafogo,1x1
2024,6,Bahia,Bragantino,1x0
2024,6,São Paulo,Fluminense,2x1
2024,6,Criciúma,Cuiabá,2x5
2024,6,Atlético-MG,Grêmio,2x1
2024,6,Internacional,Juventude,2x1
2024,7,Vitória,Atlético-GO,0x2
2024,7,Grêmio,Bragantino,0x2
2024,7,Cuiabá,Internacional,0x1
2024,7,Fluminense,Juventude,1x1
2024,7,Corinthians,Botafogo,0x1
2024,7,Vasco,Flamengo,1x6
2024,7,Criciúma,Palmeiras,1x2
2024,7,Atlético-MG,Bahia,1x1
2024,7,Fortaleza,Athletico-PR,1x0
2024,7,São Paulo,Cruzeiro,2x0
2024,8,Juventude,Vitória,1x1
2024,8,Atlético-GO,Corinthians,2x2
2024,8,Botafogo,Fluminense,1x0
2024,8,Bragantino,Atlético-MG,1x2
2024,8,Cruzeiro,Cuiabá,2x1
2024,8,Athletico-PR,Criciúma,3x1
2024,8,Flamengo,Grêmio,2x1
2024,8,Internacional,São Paulo,0x0
2024,8,Palmeiras,Vasco,2x0
2024,8,Bahia,Fortaleza,1x0
2024,9,Bragantino,Juventude,2x1
2024,9,Fluminense,Atlético-GO,1x2
2024,9,Vitória,Internacional,2x1
2024,9,Athletico-PR,Flamengo,1x1
2024,9,Corinthians,São Paulo,2x2
2024,9,Criciúma,Bahia,2x2
2024,9,Grêmio,Botafogo,1x2
2024,9,Vasco,Cruzeiro,0x0
2024,9,Cuiabá,Fortaleza,5x0
2024,9,Atlético-MG,Palmeiras,0x4
2024,10,Botafogo,Athletico-PR,1x1
2024,10,Atlético-GO,Criciúma,1x2
2024,10,Fortaleza,Grêmio,1x0
2024,10,Juventude,Vasco,2x0
2024,10,São Paulo,Cuiabá,0x1
2024,10,Internacional,Corinthians,1x0
2024,10,Cruzeiro,Fluminense,2x0
2024,10,Vitória,Atlético-MG,4x2
2024,10,Flamengo,Bahia,2x1
2024,10,Palmeiras,Bragantino,2x1
2024,11,Criciúma,Botafogo,2x1
2024,11,Grêmio,Internacional,0x1
2024,11,Cuiabá,Atlético-GO,0x0
2024,11,Vasco,São Paulo,4x1
2024,11,Fluminense,Flamengo,0x1
2024,11,Athletico-PR,Corinthians,1x1
2024,11,Bahia,Cruzeiro,4x1
2024,11,Palmeiras,Juventude,3x1
2024,11,Bragantino,Vitória,2x1
2024,11,Atlético-MG,Fortaleza,1x1
2024,12,Cruzeiro,Athletico-PR,2x0
2024,12,Botafogo,Bragantino,2x1
2024,12,Corinthians,Cuiabá,1x1
2024,12,Juventude,Flamengo,2x1
2024,12,Atlético-GO,Grêmio,1x1
2024,12,Bahia,Vasco,2x1
2024,12,Internacional,Atlético-MG,1x1
2024,12,Fortaleza,Palmeiras,3x0
2024,12,Fluminense,Vitória,0x1
2024,12,São Paulo,Criciúma,2x1
2024,13,Cuiabá,Bragantino,1x1
2024,13,Vasco,Botafogo,1x1
2024,13,Atlético-MG,Atlético-GO,1x1
2024,13,São Paulo,Bahia,3x1
2024,13,Grêmio,Fluminense,1x0
2024,13,Fortaleza,Juventude,2x1
2024,13,Vitória,Athletico-PR,0x1
2024,13,Flamengo,Cruzeiro,2x1
2024,13,Criciúma,Internacional,1x1
2024,13,Palmeiras,Corinthians,2x0
2024,14,Bragantino,Atlético-GO,3x1
2024,14,Cuiabá,Botafogo,1x2
2024,14,Criciúma,Cruzeiro,1x0
2024,14,Vasco,Fortaleza,2x0
2024,14,Athletico-PR,São Paulo,1x2
2024,14,Atlético-MG,Flamengo,2x4
2024,14,Grêmio,Palmeiras,2x2
2024,14,Bahia,Juventude,2x0
2024,14,Corinthians,Vitória,3x2
2024,14,Fluminense,Internacional,1x1
2024,15,Flamengo,Cuiabá,1x1
2024,15,São Paulo,Bragantino,2x0
